method,model,language,project,func_name,id,side
asap,70B,java,oblac/jodd,MethodVisitor.visitParameter,477,0.9497032761573792
asap,70B,java,oblac/jodd,MethodVisitor.visitAnnotation,478,0.9784556031227112
asap,70B,java,oblac/jodd,MethodVisitor.visitTypeAnnotation,479,0.9861592650413513
asap,70B,java,oblac/jodd,MethodVisitor.visitParameterAnnotation,480,0.9624155759811401
asap,70B,java,oblac/jodd,MethodVisitor.visitTypeInsn,481,0.9691688418388367
asap,70B,java,oblac/jodd,MethodVisitor.visitFieldInsn,482,0.9544905424118042
asap,70B,java,oblac/jodd,MethodVisitor.visitMethodInsn,483,-0.5719602108001709
asap,70B,java,oblac/jodd,MethodVisitor.visitInvokeDynamicInsn,484,0.894127607345581
asap,70B,java,oblac/jodd,MethodVisitor.visitJumpInsn,485,0.9742163419723511
asap,70B,java,oblac/jodd,MethodVisitor.visitTableSwitchInsn,486,0.9534315466880798
asap,70B,java,oblac/jodd,MethodVisitor.visitLookupSwitchInsn,487,0.7030537724494934
asap,70B,java,oblac/jodd,MethodVisitor.visitMultiANewArrayInsn,488,0.9372921586036682
asap,70B,java,oblac/jodd,MethodVisitor.visitTryCatchBlock,489,0.8524829149246216
asap,70B,java,oblac/jodd,MethodVisitor.visitLocalVariable,490,0.9047336578369141
asap,70B,java,oblac/jodd,MethodVisitor.visitLocalVariableAnnotation,491,0.9697330594062805
asap,70B,java,oblac/jodd,MethodVisitor.visitLineNumber,492,0.7127075791358948
asap,70B,java,oblac/jodd,SymbolTable.copyBootstrapMethods,493,0.6692081689834595
asap,70B,java,oblac/jodd,SymbolTable.setMajorVersionAndClassName,494,0.8835995197296143
asap,70B,java,oblac/jodd,SymbolTable.putBootstrapMethods,495,0.6269897818565369
asap,70B,java,oblac/jodd,SymbolTable.addConstant,496,0.8547500371932983
asap,70B,java,oblac/jodd,SymbolTable.addConstantMethodref,497,0.8280996084213257
asap,70B,java,oblac/jodd,SymbolTable.addConstantMemberReference,498,0.028155433014035225
asap,70B,java,oblac/jodd,SymbolTable.addConstantMemberReference,499,0.9113330245018005
asap,70B,java,orientechnologies/orientdb,OBinarySerializerFactory.getObjectSerializer,500,0.8164559006690979
asap,70B,java,orientechnologies/orientdb,OBinarySerializerFactory.getObjectSerializer,501,0.8611204028129578
asap,70B,java,orientechnologies/orientdb,ODatabaseImport.processBrokenRids,502,0.5857329964637756
asap,70B,java,orientechnologies/orientdb,OCommandExecutorSQLCreateIndex.execute,503,0.881851851940155
asap,70B,java,orientechnologies/orientdb,OCommandExecutorSQLInsert.execute,504,0.7594218850135803
asap,70B,java,orientechnologies/orientdb,OClientConnectionManager.connect,505,0.9631232023239136
asap,70B,java,orientechnologies/orientdb,OClientConnectionManager.connect,506,0.982475757598877
asap,70B,java,orientechnologies/orientdb,OClientConnectionManager.getConnection,507,0.9641572833061218
asap,70B,java,orientechnologies/orientdb,OClientConnectionManager.kill,508,0.9491931200027466
asap,70B,java,orientechnologies/orientdb,OClientConnectionManager.interrupt,509,0.9871737957000732
asap,70B,java,orientechnologies/orientdb,OClientConnectionManager.disconnect,510,0.9840171337127686
asap,70B,java,orientechnologies/orientdb,OClientConnectionManager.pushDistribCfg2Clients,511,0.7948217988014221
asap,70B,java,orientechnologies/orientdb,FrequencySketch.reset,512,0.9415454864501953
asap,70B,java,orientechnologies/orientdb,FrequencySketch.indexOf,513,0.9198402762413025
asap,70B,java,orientechnologies/orientdb,FrequencySketch.spread,514,0.9717585444450378
asap,70B,java,orientechnologies/orientdb,StripedBuffer.advanceProbe,515,0.957425057888031
asap,70B,java,orientechnologies/orientdb,Orient.initShutdownQueue,516,0.8755459189414978
asap,70B,java,orientechnologies/orientdb,Orient.getEngine,517,0.9531127214431763
asap,70B,java,orientechnologies/orientdb,OClusterBasedStorageConfiguration.toStream,518,0.8321393728256226
asap,70B,java,orientechnologies/orientdb,OHttpResponse.compress,519,0.8925004005432129
asap,70B,java,orientechnologies/orientdb,OStorageRemote.command,520,0.9735521078109741
asap,70B,java,orientechnologies/orientdb,OStorageRemote.endRequest,521,0.9803274869918823
asap,70B,java,orientechnologies/orientdb,OStorageRemote.addHost,522,0.5166179537773132
asap,70B,java,orientechnologies/orientdb,OStorageRemote.beginRequest,523,0.9841451644897461
asap,70B,java,orientechnologies/orientdb,OStorageConfigurationImpl.load,524,0.9787658452987671
asap,70B,java,orientechnologies/orientdb,OStorageConfigurationImpl.toStream,525,0.8259474635124207
asap,70B,java,orientechnologies/orientdb,OSBTreeBucketSingleValue.getValue,526,0.8781650066375732
asap,70B,java,orientechnologies/orientdb,Bucket.getValues,527,0.9289950132369995
asap,70B,java,orientechnologies/orientdb,Bucket.getValues,528,0.9019593000411987
asap,70B,java,orientechnologies/orientdb,OIndexFullText.put,529,-0.2920345067977905
asap,70B,java,orientechnologies/orientdb,OIndexFullText.remove,530,0.8925947546958923
asap,70B,java,orientechnologies/orientdb,OIndexManagerShared.createIndex,531,0.8973872661590576
asap,70B,java,orientechnologies/orientdb,OIndexManagerShared.toStream,532,0.9416420459747314
